"Parent to Child: A parent is advising their child on how to clean their room.","Poate ar trebui să începi cu hainele de pe jos.","Adună hainele de pe jos.","A","Indirectness","Family","Parent->Child"
"Customer to Waiter (Requesting the Bill): A customer is signaling they are ready for the bill.","Adu-mi nota.","Când ați avea un moment, aș dori să achit.","B","Indirectness","Services","Customer->Waiter"
"Doctor to Patient: A doctor is suggesting that a patient take a blood test.","Ar fi bine să facem niște analize de sânge.","Trebuie să-ți faci analize.","A","Indirectness","Healthcare","Doctor->Patient"
"Guest at a Formal Event to Host: A guest is subtly leaving early.","Trebuie să plec.","Mă scuzați, cred că a venit momentul să plec. Vă mulțumesc!","B","Indirectness","Formal Event","Guest->Host"
"Employee to Boss: An employee is asking for a raise.","Vreau o mărire de salariu.","Aș avea o problemă personală și m-aș întreba dacă aș putea lipsi mâine.","B","Indirectness","Workplace","Employee->Boss"
"Neighbor to Neighbor: A neighbor is asking to borrow a tool.","Oare ați avea o cheie franceză să-mi împrumutați pentru 5 minute?","Dă-mi o cheie franceză!","A","Indirectness","Family","Neighbor->Neighbor"
"Buyer to Seller (Questioning Quality): A buyer is questioning the quality of a product.","Mi se pare că materialul nu e la fel de rezistent pe cât mă așteptam.","Materialul ăsta e de proastă calitate.","A","Indirectness","Commerce","Buyer->Seller"
"Professor to Student: A professor is asking a student to be more active in class.","Aș vrea să văd o participare mai activă din partea ta la cursuri.","Vorbește mai mult la cursuri.","A","Indirectness","Education","Professor->Student"
"Clerk to Citizen: A clerk is asking a citizen to provide more information.","Dă-mi mai multe informații.","Am avea nevoie de niște informații suplimentare din partea dumneavoastră.","B","Indirectness","Administration","Clerk->Citizen"
"Friend to Friend (Declining a Request): A friend is declining to help another friend move.","Nu te ajut să te muți.","Mi-aș dori mult să te ajut, dar cred că nu voi avea timp.","B","Indirectness","Friends","Friend->Friend"
"Colleague to Colleague (Making a Suggestion): A colleague is suggesting a new tool for a project.","Poate ar fi util să folosim un alt software pentru asta.","Folosește alt software.","A","Indirectness","Workplace","Colleague->Colleague"
"Bank Teller to Customer: A bank teller is informing a customer that their request cannot be fulfilled.","În acest moment, nu putem procesa această cerere.","Nu pot face asta.","A","Indirectness","Commerce","Teller->Customer"
"Patient to Doctor: A patient is inquiring about their diagnosis without being too direct.","Ce am?","Aș vrea să știu mai multe despre starea mea.","B","Indirectness","Healthcare","Patient->Doctor"
"Professor to Student: A professor is suggesting a student review a section of a paper.","Ar fi o idee bună să mai citești o dată capitolul 2.","Citește capitolul 2.","A","Indirectness","Education","Professor->Student"
"Waiter to Customer: A waiter is informing a customer about the long wait time for their order.","Comanda dumneavoastră mai durează.","Comanda dumneavoastră va mai dura puțin, sper că nu deranjează.","B","Indirectness","Services","Waiter->Customer"
"Junior Employee to Senior Colleague: A junior employee is asking a senior colleague for guidance.","Spune-mi cum să fac task-ul ăsta.","M-ai putea îndruma, te rog, în legătură cu acest task?","B","Indirectness","Workplace","Junior->Senior"
"Citizen to Clerk: A citizen is making a request.","Ar fi posibil să obțin o copie certificată?","Dă-mi o copie certificată.","A","Indirectness","Administration","Citizen->Clerk"
"Friend to Friend (Declining an Offer): A friend is declining a lunch invitation.","Îmi pare rău, dar cred că am deja planuri pentru prânz.","Nu pot veni la prânz.","A","Indirectness","Friends","Friend->Friend"
"Cashier to Customer: A cashier is politely asking for the exact amount.","Dă bani potriviți.","Ați avea cumva bani potriviți?","B","Indirectness","Commerce","Cashier->Customer"
"Parent to Child: A parent is telling a child to share their toys with a friend.","Ce-ar fi să-ți împarți jucăriile cu Andrei?","Împarte jucăriile cu Andrei!","A","Indirectness","Family","Parent->Child"
"Doctor to Nurse: A doctor is suggesting a change in a patient's treatment.","M-aș gândi să modificăm puțin planul de tratament.","Modifică planul de tratament.","A","Indirectness","Healthcare","Doctor->Nurse"
"Employee to Manager: An employee wants to take a day off for personal reasons.","Aș avea o problemă personală și m-aș întreba dacă aș putea lipsi mâine.","Mâine lipsesc.","A","Indirectness","Workplace","Employee->Manager"
"Neighbor to Neighbor: A neighbor is asking to borrow a cup of sugar.","Ați avea, cumva, o cană de zahăr în plus?","Dă-mi o cană de zahăr.","A","Indirectness","Family","Neighbor->Neighbor"
"Professor to Student: A professor is suggesting that a student improve their writing style.","Cred că ar trebui să lucrezi la stilul academic al lucrării.","Scrie mai bine.","A","Indirectness","Education","Professor->Student"
"Waiter to Customer: A waiter is informing a customer that a table is reserved.","Din păcate, această masă este deja rezervată.","Masa este ocupată.","A","Indirectness","Services","Waiter->Customer"
"Patient to Doctor: A patient is expressing their opinion on a treatment plan.","Mi se pare că acest tratament ar putea să nu fie cel mai bun.","Cred că tratamentul ăsta e prost.","A","Indirectness","Healthcare","Patient->Doctor"
"Friend to Friend (Advising): A friend is advising another on a personal issue.","Poate ar fi o idee bună să vorbești cu el.","Vorbește cu el!","A","Indirectness","Friends","Friend->Friend"
"Citizen to Clerk: A citizen is asking for clarification on a document.","M-aș întreba dacă ați putea să-mi explicați secțiunea aceasta.","Explică-mi secțiunea asta.","A","Indirectness","Administration","Citizen->Clerk"
